item_name,serving_info,calories,fat,carbohydrates,protein,url,page
Dada Ayam,100 g,,"7,72g","0,00g","29,55g",https://www.fatsecret.co.id/kalori-gizi/superindo/dada-ayam/100g,1
Kerupuk Ikan,100 g,,"28,00g","64,00g","4,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kerupuk-ikan/100g,1
Kerupuk Seblak,100 g,,"21,00g","20,00g","8,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kerupuk-seblak/100g,1
Udang Lapis Tepung (Ebi Furai),100 g,,"2,00g","23,00g","10,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/udang-lapis-tepung-(ebi-furai)/100g,1
Tauge,100 g,,"0,48g","4,69g","3,59g",https://www.fatsecret.co.id/kalori-gizi/superindo/tauge/100g,1
Telur Omega,100 g,,"6,00g","1,00g","4,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/telur-omega/100g,1
Alpukat,100 g,,"14,66g","8,53g","2,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/alpukat/100g,1
Sawi Putih,100 g,,"0,10g","1,70g","1,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/sawi-putih/100g,2
Wortel,100 g,,"0,24g","9,58g","0,93g",https://www.fatsecret.co.id/kalori-gizi/superindo/wortel/100g,2
Kentang Rebus,100 g,,"0,10g","20,13g","1,87g",https://www.fatsecret.co.id/kalori-gizi/superindo/kentang-rebus/100g,2
Bayam,100 g,,"0,39g","3,63g","2,86g",https://www.fatsecret.co.id/kalori-gizi/superindo/bayam/100g,2
Pakcoy,100 g,,"0,20g","2,18g","1,50g",https://www.fatsecret.co.id/kalori-gizi/superindo/pakcoy/100g,2
Ubi Bakar Cilembu,100 g,,"0,05g","20,12g","1,57g",https://www.fatsecret.co.id/kalori-gizi/superindo/ubi-bakar-cilembu/100g,2
Daging Sapi,100 g,,"19,54g","0,00g","26,33g",https://www.fatsecret.co.id/kalori-gizi/superindo/daging-sapi/100g,2
Buncis,100 g,,"0,12g","7,13g","1,82g",https://www.fatsecret.co.id/kalori-gizi/superindo/buncis/100g,2
Paha Ayam,100 g,,"15,36g","0,00g","24,85g",https://www.fatsecret.co.id/kalori-gizi/superindo/paha-ayam/100g,2
Putih Telur,100 g,,"0,17g","0,73g","10,86g",https://www.fatsecret.co.id/kalori-gizi/superindo/putih-telur/100g,3
Labu Siam,100 g,,"0,13g","3,90g","0,82g",https://www.fatsecret.co.id/kalori-gizi/superindo/labu-siam/100g,3
Ubi Ungu,100 g,,"0,05g","18,26g","2,36g",https://www.fatsecret.co.id/kalori-gizi/superindo/ubi-ungu/100g,3
Brokoli,100 g,,"0,40g","7,20g","2,40g",https://www.fatsecret.co.id/kalori-gizi/superindo/brokoli/100g,3
Ikan Dori,100 g,,"4,11g","0,00g","11,02g",https://www.fatsecret.co.id/kalori-gizi/superindo/ikan-dori/100g,3
Kerupuk Koin Pedas,100 g,,"20,00g","19,00g","9,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kerupuk-koin-pedas/100g,3
Gurame,100 g,,"5,49g","0,00g","17,48g",https://www.fatsecret.co.id/kalori-gizi/superindo/gurame/100g,4
Usus Sapi,100 g,,"7,20g","1,50g","14,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/usus-sapi/100g,4
Mentimun,100 g,,"0,11g","3,63g","0,65g",https://www.fatsecret.co.id/kalori-gizi/superindo/mentimun/100g,4
Nasi Merah,100 g,,"0,89g","22,78g","2,56g",https://www.fatsecret.co.id/kalori-gizi/superindo/nasi-merah/100g,4
Kurma,100 g,,"1,00g","78,00g","2,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kurma/100g,4
Getas Bangka Super,100 g,,"30,00g","60,00g","5,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/getas-bangka-super/100g,4
Edamame,100 g,,"5,00g","10,00g","11,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/edamame/100g,4
Ikan Kembung,100 g,,"9,36g","0,00g","19,32g",https://www.fatsecret.co.id/kalori-gizi/superindo/ikan-kembung/100g,5
Jamur Kancing,100 g,,"0,30g","3,30g","3,10g",https://www.fatsecret.co.id/kalori-gizi/superindo/jamur-kancing/100g,5
Palm Sugar,100 g,,"10,00g","76,00g","3,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/palm-sugar/100g,5
Jamur Shimeji,100 g,,"0,44g","6,43g","3,34g",https://www.fatsecret.co.id/kalori-gizi/superindo/jamur-shimeji/100g,5
Jagung Rebus,100 g,,"0,74g","22,33g","3,11g",https://www.fatsecret.co.id/kalori-gizi/superindo/jagung-rebus/100g,5
Keripik Singkong,100 g,,"27,00g","67,00g","2,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/keripik-singkong/100g,6
Chicken Karage,100 g,,"6,00g","8,00g","25,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/chicken-karage/100g,6
Kentang Goreng Beku Shoestring,100 g,,"5,00g","23,00g","2,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kentang-goreng-beku-shoestring/100g,6
Brondong Ketan,100 g,,"1,50g","86,00g","6,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/brondong-ketan/100g,6
Ikan Kembung Goreng,100 g,,"9,36g","0,00g","19,32g",https://www.fatsecret.co.id/kalori-gizi/superindo/ikan-kembung-goreng/100g,6
Bakso Udang,100 g,,"2,00g","18,00g","7,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/bakso-udang/100g,6
Kacang Merah,100 g,,"1,00g","58,00g","23,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kacang-merah/100g,6
Naget Ayam,100 g,,"20,00g","10,00g","16,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/naget-ayam/100g,7
Chicken Nugget,100 g,,"5,00g","8,00g","20,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/chicken-nugget/100g,7
Potato Croquettes,100 g,,"0,00g","17,00g","8,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/potato-croquettes/100g,7
Siomay Udang,100 g,,"3,50g","10,00g","11,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/siomay-udang/100g,7
Smoked Beef,100 g,,"10,00g","2,00g","16,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/smoked-beef/100g,8
Koya Suuk,100 g,,"17,00g","62,00g","14,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/koya-suuk/100g,8
Abon,100 g,,"17,00g","60,00g","14,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/abon/100g,8
Beras Merah,100 g,,"1,50g","75,00g","9,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/beras-merah/100g,8
Tepung Roti Mix,100 g,,"2,00g","76,00g","11,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tepung-roti-mix/100g,8
Kembang Tahu,100 g,,"29,00g","8,00g","51,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kembang-tahu/100g,9
Naget Udang Ebi Katsu,100 g,,"4,00g","26,00g","8,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/naget-udang-ebi-katsu/100g,9
Belimbing,100 g,,"0,33g","6,73g","1,04g",https://www.fatsecret.co.id/kalori-gizi/superindo/belimbing/100g,9
Bihun Jagung,100 g,,"0,50g","85,00g","1,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/bihun-jagung/100g,9
Spicy Wing,100 g,,"11,00g","0,00g","22,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/spicy-wing/100g,9
Abon Sapi Super,100 g,,"27,00g","40,00g","26,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/abon-sapi-super/100g,9
Tuna Chunk in Brine,100 g,,"0,50g","2,00g","23,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-chunk-in-brine/100g,10
Kacang Kulit,100 g,,"46,00g","19,00g","28,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kacang-kulit/100g,10
Sosis Ayam Keju,100 g,,"11,00g","10,00g","17,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/sosis-ayam-keju/100g,10
Chicken Stick,100 g,,"9,00g","10,00g","19,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/chicken-stick/100g,10
Tuna Saus Cabe,100 g,,"7,00g","1,00g","19,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-saus-cabe/100g,11
Sosis Bratwurst,100 g,,"9,00g","7,00g","16,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/sosis-bratwurst/100g,11
Tuna Bumbu Nasi Goreng,100 g,,"12,00g","6,00g","20,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-bumbu-nasi-goreng/100g,11
Tuna Potongan dalam Air Garam,100 g,,"1,00g","2,00g","22,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-potongan-dalam-air-garam/100g,11
Tuna Chunk in Vegetable Oil,100 g,,"4,00g","1,00g","22,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-chunk-in-vegetable-oil/100g,12
Tuna Flakes In Chili Sauce,100 g,,"7,00g","1,00g","19,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-flakes-in-chili-sauce/100g,12
Kolang Kaling Tawar,100 g,,"0,00g","12,00g","0,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kolang-kaling-tawar/100g,12
Kacang Panjang,100 g,,"0,12g","7,13g","1,82g",https://www.fatsecret.co.id/kalori-gizi/superindo/kacang-panjang/100g,12
